model,dataset,run,timestamp,train_accuracy,test_accuracy,test_log_loss,test_brier_score,test_roc_auc,generalization_gap,train_time_seconds
random_forest,combined,1,2025-11-20T10:55:04.108903,0.7276914500115038,0.6912457336878032,0.5895477906177294,0.2012405890717979,0.7556508519711705,0.03644571632370064,59.61599612236023
random_forest,combined,2,2025-11-20T10:56:35.396864,0.7291060606954665,0.6839955713385512,0.5988357030145475,0.20479450970502108,0.7469790495754544,0.045110489356915306,58.801352977752686
random_forest,combined,3,2025-11-20T10:58:08.318874,0.7268057347141856,0.6896737012411871,0.589995660991797,0.20153878056415153,0.7548302334861307,0.03713203347299854,61.44306993484497
random_forest,combined,4,2025-11-20T10:59:39.661839,0.72747545517944,0.6890515257038304,0.5913506481257964,0.2021889273120055,0.7531977942931015,0.038423929475609575,59.594319105148315
random_forest,combined,5,2025-11-20T11:01:13.064632,0.7272801680022888,0.6924548772649814,0.5868832192093517,0.20029450657430145,0.7578484203312269,0.034825290737307335,61.04173493385315
knn,combined,1,2025-11-20T11:45:16.979668,0.7156574282191506,0.6511586095506446,2.2757113311531327,0.23655971658129132,0.6969785688395893,0.06449881866850593,0.3924901485443115
knn,combined,2,2025-11-20T12:12:10.782397,0.7170824752609621,0.6471234312703544,2.3880895132915057,0.24038786122742237,0.6907138563558708,0.0699590439906077,0.23660612106323242
knn,combined,3,2025-11-20T12:52:59.240561,0.7158567058563373,0.6506253173825242,2.3369295141258766,0.2376274549169196,0.6958660936768315,0.06523138847381316,0.24394607543945312
knn,combined,4,2025-11-20T13:25:54.195368,0.716054870703827,0.6498376910818627,2.310865641645727,0.23766877176415038,0.6953626760827466,0.06621717962196427,0.472308874130249
knn,combined,5,2025-11-20T13:53:16.616104,0.7147013800609362,0.6524090027300655,2.2914183772735712,0.23600974096808244,0.6983128790613984,0.062292377330870674,0.24009084701538086
mlp,combined,1,2025-11-20T13:54:27.234888,0.6953133756909663,0.6955754142522828,0.5795631467575246,0.1978277867333159,0.7635713292054194,-0.00026203856131645775,64.55157709121704
mlp,combined,2,2025-11-20T13:55:06.033941,0.6969320347674206,0.6889778154685136,0.587673469646588,0.20128762620961863,0.7545454644482288,0.00795421929890705,33.341628074645996
mlp,combined,3,2025-11-20T13:55:59.608100,0.6957630929126893,0.6938749601426597,0.5804405823042107,0.19831387749061,0.762276355418149,0.001888132770029638,47.58083987236023
mlp,combined,4,2025-11-20T13:56:59.384744,0.6958948704679255,0.6932627043616832,0.5819338959547179,0.19891276990986612,0.7606922492558478,0.002632166106242284,53.980611085891724
mlp,combined,5,2025-11-20T13:57:34.268535,0.6947289871786174,0.696529337885408,0.5774254542751781,0.19704278697775943,0.7655082868530281,-0.0018003507067906321,29.303772926330566
