round_num,n_samples,accuracy,calibration_accuracy,roc_auc,log_loss,brier_score,avg_confidence,model,dataset
20,592,0.8158783783783784,0.8106312292358804,0.9016617969320672,0.3961658025727909,0.12831958134478727,0.5055936861140341,logistic_regression,esta
21,582,0.8230240549828178,0.8154362416107382,0.9120463858480652,0.3792752125819677,0.12100445034437521,0.506933849194348,logistic_regression,esta
22,546,0.8315018315018315,0.8267148014440433,0.919762776905634,0.3692647109963341,0.11722700526279714,0.5061043999771182,logistic_regression,esta
23,502,0.8087649402390438,0.803921568627451,0.9111760130791575,0.3827926959079244,0.12296483040202745,0.5055251947201927,logistic_regression,esta
24,450,0.8222222222222222,0.8138528138528138,0.9125728395061727,0.3920748694263514,0.12322565233049623,0.5063374562826679,logistic_regression,esta
25,406,0.8374384236453202,0.8341463414634146,0.917469484821277,0.3879219193932706,0.12004846062298025,0.5055515869404288,logistic_regression,esta
26,350,0.8514285714285714,0.847457627118644,0.929861224489796,0.38988570404078216,0.11916951428314247,0.5021887745988552,logistic_regression,esta
27,288,0.8229166666666666,0.8206896551724138,0.9266975308641976,0.41365909882295365,0.1271839482899678,0.5023639177742827,logistic_regression,esta
28,226,0.8805309734513275,0.8706896551724138,0.9169864515623776,0.42477011584842894,0.13192726075700606,0.4933883945272801,logistic_regression,esta
29,150,0.86,0.8461538461538461,0.9488000000000001,0.4268346542265664,0.1322355054269049,0.48137135343832105,logistic_regression,esta
30,88,0.8522727272727273,0.8444444444444444,0.9633264462809917,0.3906279062027913,0.11474690894923482,0.4531523146986222,logistic_regression,esta
1,624,0.5897435897435898,0.5828402366863905,0.5839702498356344,0.7035924566838783,0.2525665430181731,0.5096688659756375,random_forest,esta
2,624,0.6410256410256411,0.6410256410256411,0.6521922255095332,0.660730916344933,0.23331296096816836,0.4985671212617571,random_forest,esta
3,624,0.6314102564102564,0.6314102564102564,0.6392998027613412,0.6732659685519125,0.23826999147759764,0.4966362611053168,random_forest,esta
4,624,0.6298076923076923,0.6269592476489029,0.6794101331360947,0.6513709667715495,0.22822272668910615,0.49942033792867424,random_forest,esta
5,624,0.6426282051282052,0.6440129449838188,0.7090986604207759,0.6277794420399488,0.21773113281253542,0.49946444155145375,random_forest,esta
6,622,0.657556270096463,0.6601307189542484,0.7287455671467417,0.6136147139774486,0.2114228332284041,0.4993364071720126,random_forest,esta
7,620,0.6758064516129032,0.6752411575562701,0.7464828303850156,0.5987342966069455,0.20507602280426176,0.49566843991831083,random_forest,esta
8,620,0.6983870967741935,0.6927899686520376,0.7650884495317378,0.5813143000271874,0.19749368791183977,0.5017799448159165,random_forest,esta
9,620,0.7403225806451613,0.7442622950819672,0.8042247658688866,0.5417249354580408,0.18030460879052296,0.4983147707523034,random_forest,esta
10,620,0.7338709677419355,0.7287066246056783,0.8055567117585849,0.5385947333477203,0.18015594333402551,0.5011947883031939,random_forest,esta
11,620,0.7241935483870968,0.7206349206349206,0.8235379812695109,0.5125763091484256,0.17116387013985201,0.49971624586621105,random_forest,esta
12,620,0.7645161290322581,0.759493670886076,0.8412695109261186,0.49283340944266446,0.1625245907287302,0.5013651237926845,random_forest,esta
13,620,0.7887096774193548,0.778816199376947,0.8672112382934443,0.45963510783202705,0.14861679259058252,0.5028410251731656,random_forest,esta
14,620,0.7564516129032258,0.7556270096463023,0.8531425598335067,0.4749058927814239,0.1558724668555042,0.499537234010706,random_forest,esta
15,620,0.7645161290322581,0.7645161290322581,0.8490530697190427,0.48492528248855865,0.15787422625393407,0.49677762552587007,random_forest,esta
16,620,0.782258064516129,0.7813504823151125,0.85945889698231,0.46924032989081715,0.15212065053404916,0.5035209827136944,random_forest,esta
17,620,0.7838709677419354,0.7838709677419354,0.8773673257023933,0.4381614157094796,0.14247972416571347,0.4971702977558103,random_forest,esta
