accuracy,log_loss,brier_score,roc_auc,train_matches,test_matches,train_samples,test_samples,model,dataset
0.6950171502160803,0.5804991817071037,0.1980857632144726,0.7629449795843956,25368,6342,1291934,323028,mlp,kaggle
0.7470387104652583,0.4922398461925001,0.1653551168588406,0.8363932501299849,1245,312,65718,16378,mlp,esta
0.7029871011541072,0.571754396884306,0.1944671439262096,0.7720173105935286,26613,6654,1358268,338790,mlp,combined
0.6950171502160803,0.5804991817071037,0.1980857632144727,0.7629449788177236,25368,6342,1291934,323028,mlp,kaggle
0.7550819268202538,0.4879309663322422,0.1627665091906078,0.8414713398534848,1246,312,65918,16234,mlp,esta
0.6956656146218527,0.5801944272621388,0.1980454007961152,0.7630040387361179,26614,6654,1357458,339656,mlp,combined
0.7539781982207744,0.4856977546518776,0.162269056653239,0.8426048703159038,1246,312,64434,15962,mlp,esta
0.6950171502160803,0.5804991817071037,0.1980857632144727,0.7629449788177236,25368,6342,1291934,323028,mlp,kaggle
0.6955754142522828,0.5795631467575246,0.1978277867333159,0.7635713292054194,26614,6654,1356072,339286,mlp,combined
