accuracy,log_loss,brier_score,roc_auc,train_matches,test_matches,train_samples,test_samples,model,dataset
0.6949304704236166,0.5843235837387174,0.1995503974111704,0.759508700334265,25368,6342,1291934,323028,logistic,kaggle
0.7471608254976188,0.5028002275616226,0.1683082168972957,0.8300388097349822,1245,312,65718,16378,logistic,esta
0.7028896956816907,0.5763302811759212,0.1961165305389427,0.7684881764188437,26613,6654,1358268,338790,logistic,combined
0.6949304704236166,0.5843235837387174,0.1995503974111704,0.7595087005450999,25368,6342,1291934,323028,logistic,kaggle
0.7530491560921523,0.498566590196251,0.1659308875960423,0.8349544466325608,1246,312,65918,16234,logistic,esta
0.6960277457191982,0.5833976017005708,0.1991728521162319,0.76031476057254,26614,6654,1357458,339656,logistic,combined
0.7536023054755043,0.4971594695879071,0.1654474287067056,0.8359620104514291,1246,312,64434,15962,logistic,esta
0.7536023054755043,0.4971594695879071,0.1654474287067056,0.8359620104514291,1246,312,64434,15962,logistic,esta
0.6949304704236166,0.5843235837387174,0.1995503974111704,0.7595087005450999,25368,6342,1291934,323028,logistic,kaggle
0.6959998349475074,0.5834040584628372,0.19917868821419038,0.7602941942582805,26614,6654,1356072,339286,logistic,combined
