accuracy,log_loss,brier_score,roc_auc,train_matches,test_matches,train_samples,test_samples,model,dataset
0.6475661552558911,3.079999969913344,0.2504574300666614,0.6866930573628718,25368,6342,1291934,323028,knn,kaggle
0.7154719746000733,1.2254130887264576,0.1913002503699881,0.7890925836091683,1245,312,65718,16378,knn,esta
0.6535612031051684,2.8693213153414954,0.2466185734360626,0.6943779201033584,26613,6654,1358268,338790,knn,combined
0.647587825204007,3.092904868153754,0.2504725161199011,0.6866634712571553,25368,6342,1291934,323028,knn,kaggle
0.7234815818652212,1.3071918726022975,0.1866820989913072,0.7990630408372902,1246,312,65918,16234,knn,esta
0.648503191464305,2.883541820058137,0.2494888927388126,0.6888290071980483,26614,6654,1357458,339656,knn,combined
0.7254103495802531,1.2845417341559855,0.1857764409229335,0.8009136189114476,1246,312,64434,15962,knn,esta
0.647587825204007,3.092904868153754,0.2504725161199011,0.6866634712571553,25368,6342,1291934,323028,knn,kaggle
0.6488449272884823,2.804269027600895,0.24950368161694245,0.6892212840447725,26614,6654,1356072,339286,knn,combined
