model,dataset,split,train_matches,test_matches,accuracy,log_loss,brier_score,roc_auc
cnn_transformer,esta,random,544,136,0.9411764705882352,0.1102141246538834,0.0360678975266711,0.9957288062283738
cnn_transformer,esta,random,544,136,0.9632352941176472,0.0780315019195545,0.0256775312505111,0.9959450692041524
cnn_transformer,esta,random,544,136,0.9558823529411764,0.0952915016500549,0.0318702476010502,0.9947015570934256
cnn_transformer,esta,random,544,136,1.0,0.0003499018460398,1.6387269948690698e-07,1.0
cnn_transformer,esta,random,544,136,1.0,4.755525007634936e-05,3.838594497172555e-09,1.0
cnn_transformer,esta,random,544,136,1.0,0.0002245863620246,3.588043054380111e-07,1.0
cnn_transformer,esta,random,544,136,1.0,0.0002144924883508,1.7207169301302181e-07,1.0
cnn_transformer,combined,time,25912,6478,0.7973296287720923,0.4887214355342035,0.1560270072307659,0.8617449607183176
cnn_transformer,combined,random,25912,6478,0.8509570855202223,0.3899499778554168,0.115785534182239,0.8936239630636231
cnn_transformer,kaggle,random,25368,6342,0.8352913348576835,0.4165956246891056,0.126763254927942,0.8736583797803695
cnn_transformer,combined,random,25912,6478,0.8302716887928373,0.4432769948832565,0.1366167646370047,0.8651216585911076
cnn_transformer,combined,time,25912,6478,0.5000385891795941,0.6931471777622762,0.2499999986011653,0.5
cnn_transformer,combined,random,25912,6478,0.5,0.6931584144850603,0.2500056168994575,0.5
cnn_transformer,esta,random,544,136,0.9448529411764706,0.1884655819674881,0.0513341177268298,0.9907006920415226
cnn_transformer,kaggle,random,25368,6342,0.4999605771505164,0.6931471878272827,0.2500000036336686,0.5
cnn_transformer,combined,random,25912,6478,0.5,0.6931474275646702,0.2500001235023319,0.5
cnn_transformer,kaggle,random,25368,6342,0.8397855396988094,0.4078442917946336,0.1232458329833241,0.8791336395005777
cnn_transformer,combined,random,25912,6478,0.8512658227848101,0.3816095907933377,0.1136325918527831,0.8954787100444271
cnn_transformer,esta,random,544,136,1.0,0.0003045983812909,5.446460230618976e-06,1.0
cnn_transformer,combined,random,25912,6478,0.8504939796233405,0.3812792838268879,0.1137751428758563,0.8929938826365649
cnn_transformer,combined,time,25912,6478,0.7971752720537162,0.487576369833619,0.1546391788531446,0.8441971618377487
cnn_transformer,kaggle,random,25368,6342,0.8390759284081053,0.4101156610456772,0.1237093599932376,0.8792033653828699
cnn_transformer,kaggle,time,25368,6342,0.8323872595395774,0.4201664877891381,0.1280059053525064,0.8740852531530572
cnn_transformer,esta,random,544,136,1.0,8.462780567525907e-05,1.6105533770428722e-08,1.0
cnn_transformer,esta,time,544,136,1.0,7.499292522398551e-05,1.5735603316825393e-08,1.0
cnn_transformer,esta,random,1246,312,0.9839743589743588,0.0330407603079946,0.0110824839313988,0.9993117192636424
cnn_transformer,kaggle,random,25368,6342,0.8468148848943551,0.3945429215844263,0.1180943231447453,0.8864607148650142
cnn_transformer,combined,random,26614,6654,0.8449053201082056,0.3902616171801109,0.11750427957716557,0.8899023451139673
